,diarynum,entry_year,entry_id,text,0,1,2,entry_type
0,3.0,1935.0,895,Возьмите и прочтите в «Юманите» хотя бы сегодняшний манифест коммунистической партии.,-0.0624947,-0.30322507,-0.4415507,2
1,12.0,1901.0,139555,"Сегодня рассказывали нам, что социалисты издали манифест по поводу приезда во Францию царя.",0.086774826,-0.32360792,-0.27614212,6
2,12.0,1901.0,139555,Подписей под манифестом много.,-0.06596476,0.012163157,-0.20425843,1
3,12.0,1904.0,139648,"Он попросил у царя позволения, скорее терпения, выслушать его, что тягостное положение мы переживаем: эта разнузданность прессы; съезд земский, который здесь в Петербурге собирался и теперь разнесет по всем губернским и уездным собраниям свои либеральные речи; что слов царя «бессмысленные мечтания» хватило на 10 лет, чтобы удержать эти порывы, но что теперь было бы хорошо повторить манифестом, чтобы знали, что то, что происходило на съезде в Петербурге, не есть по высочайшему повелению, как об этом будут говорить в губерниях земцы, бывшие на этом съезде.",0.06137192,-0.30979756,-0.297211,6
4,12.0,1904.0,139648,"Насчет манифеста царь сказал «подумаю», по всему видно, что царь не высказался ни в ту, ни в другую сторону.",0.07615981,-0.35219404,-0.31442726,7
5,12.0,1904.0,139672,"Про «Указ» говорится, что он — повторение манифеста, есть только некоторые изменения.",0.030368987,-0.31060714,-0.33702907,8
6,12.0,1905.0,139751,"По словам Жаконе, все недовольны манифестом: ни либералов, ни консерваторов он не удовлетворил.",0.0071737086,-0.34070817,-0.3896586,2
7,12.0,1905.0,139762,"Оповещение, что завтра будет манифест о конституции и назначение Витте первым министром и министром внутренних дел.",0.12762487,-0.2467003,-0.15432344,4
8,12.0,1905.0,139762,Наборщики отказались печатать манифест.,-0.16187462,-0.18392017,-0.4692441,1
9,12.0,1905.0,139763,Опубликован манифест.,0.96158975,-0.99692893,-0.07664834,0
10,12.0,1905.0,139776,Опубликован манифест — льготное приобретение крестьянами земли.,-0.024965055,-0.19077748,-0.8938016,2
11,12.0,1905.0,139795,"Завтра, говорят, будет манифест о земле для крестьян и о четырехвостных выборах.",0.0924433,-0.2491692,-0.2047303,6
12,12.0,1905.0,139799,"Сегодня 8 газет арестованы по случаю того, что напечатали манифест рабочих, большими буквами «манифест».",0.2625977,-0.34545112,-0.04917343,4
13,12.0,1905.0,139800,"Союз типографщиков требует, чтобы газеты напечатали манифест революционеров, иначе газеты печатать не хотят.",-0.1207212,-0.19331846,-0.4287843,1
14,12.0,1906.0,139819,"На днях Витте, говоря про манифест 17 октября, сказал, что он-де был дан потому, что правительство сомневалось в верности войск, ожидалось их возмущение, что они перейдут на сторону революционеров, поэтому и поторопились с этим манифестом.",0.0656913,-0.30993462,-0.29177767,6
15,12.0,1906.0,139819,"Будь уверено правительство в войске, никогда бы этого манифеста не было.",-0.18169384,-0.2832794,-0.5550543,2
16,12.0,1906.0,139821,"Милости, дарованные манифестами, я исполню для блага всего моего народа».",-0.38565975,-0.24876246,-0.7196744,1
17,12.0,1906.0,139824,"Передайте всем уполномочившим вас, что реформы, которые мною возвещены манифестом 17 октября, будут осуществляться неизменно и права, которые мною даны одинаково всему населению, неотъемлемы — самодержавие же мое останется таким, каким оно было встарь.",-0.15021026,-0.25373256,-0.50326866,1
