,diarynum,entry_year,entry_id,0,1,2
0,2.0,1918.0,1476,-0.20662865,0.10813395,0.017196516
1,3.0,1933.0,721,-0.7693927,0.78222597,-0.4824837
2,3.0,1934.0,733,-0.2738345,-0.048423998,-0.5720104
3,3.0,1934.0,733,-0.6257864,-0.06800908,0.016746935
4,3.0,1935.0,865,-0.13877587,0.21253689,-0.04422283
5,3.0,1935.0,865,-0.22972198,0.1352322,0.029085003
6,3.0,1935.0,867,-0.93649936,0.6929633,-0.7444863
7,3.0,1935.0,867,-0.19398153,0.117309205,0.02346355
8,3.0,1935.0,895,-0.1946871,0.10468273,0.021799786
9,3.0,1936.0,908,-0.19459091,-0.044047605,-0.49055576
10,3.0,1936.0,934,-0.21949495,0.19228178,-0.0369172
11,3.0,1937.0,974,-0.30727848,0.17838974,-0.07191056
12,3.0,1937.0,974,-0.20095049,0.15750188,-0.01180074
13,3.0,1937.0,979,-0.28334776,0.11624692,-0.00026585904
14,3.0,1937.0,979,-0.536433,0.14008874,0.1471135
15,3.0,1937.0,979,-0.5303124,0.1241826,0.16370393
16,3.0,1937.0,979,-0.21643786,0.13924041,0.01986387
17,4.0,1942.0,149712,-0.48125973,0.17527176,-0.22380993
18,4.0,1942.0,149712,-0.5257558,0.50654966,-0.4084119
19,8.0,1947.0,1750,-0.27444485,0.1684678,-0.0072745807
20,8.0,1947.0,1755,-0.24907283,0.12155801,-0.0021665804
21,8.0,1947.0,1764,-0.20006132,0.14632815,0.0046923487
22,8.0,1947.0,1764,-0.24015242,0.16782182,0.010429517
23,8.0,1947.0,1764,-0.28631255,0.1855409,-0.030431077
24,8.0,1949.0,1855,-0.2516222,0.16361077,-0.17896484
25,8.0,1950.0,1904,-0.5271264,0.1550191,-0.32495227
26,8.0,1956.0,2136,-0.21013561,0.13029161,0.0008044986
27,8.0,1956.0,2136,-0.2757968,0.13347657,-0.04776482
28,8.0,1961.0,2304,-0.3520686,0.1681314,-0.2521621
29,8.0,1961.0,2304,-0.1978953,0.16742392,0.00010192393
30,8.0,1961.0,2304,-0.18040566,0.13262095,0.014863706
31,8.0,1961.0,2304,-0.20195977,0.18166885,0.047789536
32,10.0,1902.0,2378,-0.17788479,0.1259374,0.031280708
33,10.0,1911.0,2405,-0.3503113,0.22076952,-0.12819783
34,10.0,1911.0,2407,-0.1853949,0.14565705,0.017416922
35,10.0,1911.0,2407,-0.20018715,0.1095644,0.025356634
36,10.0,1912.0,2576,-0.26039878,0.16172929,-0.06762278
37,10.0,1912.0,2613,-0.55350614,0.5218938,-0.3460004
38,10.0,1913.0,2646,-0.2462468,0.14635721,-0.06562844
39,10.0,1913.0,2672,-0.7874405,0.20954636,-0.6108643
40,10.0,1913.0,2716,-0.26864955,0.09172429,0.10664929
41,10.0,1920.0,2871,-0.16185246,0.1781122,0.019963536
42,10.0,1921.0,2888,-0.21845698,0.15609598,-0.038901296
43,12.0,1902.0,139574,-0.19635361,0.13423684,-0.05616544
44,12.0,1904.0,139669,-0.2013225,0.12720756,0.0149440095
45,13.0,1915.0,4414,-0.7017848,0.26379898,-0.38798878
46,13.0,1915.0,4443,-0.18077445,0.13350545,-0.14962795
47,14.0,1942.0,5407,-0.17756902,0.16727005,-0.044619747
48,14.0,1942.0,5409,-0.15702763,0.09604826,0.013018049
49,14.0,1945.0,5861,-0.80772185,0.19453624,0.40575218
50,15.0,1939.0,6023,-0.57286566,0.31279516,-0.1142645
51,15.0,1941.0,6044,-0.26979455,0.11526757,0.06858846
52,15.0,1942.0,6089,-0.44770637,0.19463615,-0.31469554
53,15.0,1943.0,6214,-0.8190838,0.09396022,-0.014916996
54,15.0,1943.0,6214,-0.38613665,0.1736407,0.051085796
55,15.0,1944.0,6225,-0.34787416,0.15982156,-0.01756377
56,15.0,1944.0,6253,-0.31413394,0.13515158,0.0006892382
57,15.0,1945.0,6326,-0.21195158,0.120606355,0.058527708
58,15.0,1946.0,6359,-0.38664463,0.34214172,-0.17795019
59,15.0,1946.0,6366,-0.5429305,0.44229674,-0.16217233
60,16.0,1919.0,342813,-0.19984458,0.13227539,0.04079017
61,16.0,1918.0,342690,-0.20740037,0.15299699,0.038754452
62,16.0,1917.0,342573,-0.19144443,0.14778212,0.039295506
63,17.0,1924.0,7756,-0.63927364,0.15356304,0.16923039
64,17.0,1924.0,7775,-0.037750382,0.11147071,0.021043615
65,17.0,1924.0,7775,-0.22806156,0.11091843,-0.016535413
66,17.0,1924.0,7778,-0.18550281,0.12789172,-0.039954107
67,17.0,1924.0,7779,-0.5534657,0.12689008,-0.55523854
68,18.0,1933.0,6718,-0.19341893,0.10360309,0.048462596
69,18.0,1933.0,6750,-0.16170616,-0.044825822,-0.40515876
70,18.0,1934.0,6798,-0.33852068,0.13442735,-0.3408364
71,18.0,1934.0,6880,-0.24624088,0.13734606,-0.019850371
72,18.0,1937.0,7148,-0.20245299,0.08902832,0.019870382
73,18.0,1937.0,7154,-0.12546767,-0.040442713,-0.38471547
74,18.0,1937.0,7155,-0.07813504,-0.03595317,-0.30204418
75,18.0,1937.0,7182,-0.19982448,0.12249825,0.018241376
76,18.0,1937.0,7283,-0.13835868,-0.034148548,-0.3144341
77,18.0,1938.0,7349,-0.16336882,-0.054861184,-0.19187625
78,18.0,1938.0,7363,-0.049922563,-0.046619788,-0.09216156
79,18.0,1938.0,7369,-0.20973612,0.1381528,-0.111519665
