,diarynum,entry_id,entry_year,new_entry_type,new_name_type
0,3.0,895,1935.0,0,Form
1,12.0,139648,1904.0,3,Revolutionary History
2,12.0,139555,1901.0,1,Interpersonal
3,12.0,139648,1904.0,3,Revolutionary History
4,12.0,139648,1904.0,4,Monarchy
5,12.0,139648,1904.0,4,Monarchy
6,3.0,895,1935.0,0,Form
7,12.0,139555,1901.0,2,History
8,12.0,139555,1901.0,1,Interpersonal
9,12.0,139672,1904.0,5,Textual Object
10,3.0,895,1935.0,0,Form
11,12.0,139648,1904.0,3,Revolutionary History
12,12.0,139555,1901.0,2,History
13,12.0,139555,1901.0,1,Interpersonal
14,12.0,139648,1904.0,3,Revolutionary History
15,3.0,895,1935.0,0,Form
16,12.0,139555,1901.0,1,Interpersonal
17,12.0,139555,1901.0,1,Interpersonal
18,12.0,139648,1904.0,3,Revolutionary History
19,12.0,139555,1901.0,2,History
20,12.0,139555,1901.0,2,History
21,12.0,139672,1904.0,5,Textual Object
22,12.0,139648,1904.0,4,Monarchy
23,12.0,139555,1901.0,2,History
24,12.0,139555,1901.0,2,History
25,12.0,139555,1901.0,2,History
26,12.0,139648,1904.0,3,Revolutionary History
27,12.0,139648,1904.0,3,Revolutionary History
28,12.0,139648,1904.0,3,Revolutionary History
29,12.0,139555,1901.0,1,Interpersonal
30,12.0,139555,1901.0,2,History
31,12.0,139555,1901.0,2,History
32,12.0,139672,1904.0,5,Textual Object
33,12.0,139555,1901.0,2,History
34,3.0,895,1935.0,0,Form
35,12.0,139648,1904.0,3,Revolutionary History
36,12.0,139555,1901.0,2,History
37,12.0,139648,1904.0,3,Revolutionary History
38,12.0,139555,1901.0,2,History
39,12.0,139555,1901.0,1,Interpersonal
40,3.0,895,1935.0,0,Form
41,12.0,139555,1901.0,1,Interpersonal
42,12.0,139555,1901.0,1,Interpersonal
43,12.0,139555,1901.0,1,Interpersonal
44,12.0,139555,1901.0,1,Interpersonal
45,12.0,139555,1901.0,1,Interpersonal
46,12.0,139555,1901.0,1,Interpersonal
47,3.0,895,1935.0,0,Form
