,diarynum,entry_id,entry_year,new_entry_type,new_name_type
0,3.0,725,1934.0,5,War
1,2.0,1522,1921.0,0,Routine
2,2.0,1513,1920.0,1,Form
3,2.0,1522,1921.0,0,Routine
4,2.0,1522,1921.0,0,Routine
5,2.0,1522,1921.0,0,Routine
6,2.0,1513,1920.0,1,Form
7,2.0,1522,1921.0,0,Routine
8,3.0,725,1934.0,7,Culture
9,3.0,725,1934.0,5,War
10,2.0,1513,1920.0,1,Form
11,3.0,694,1932.0,4,Politics
12,3.0,694,1932.0,4,Politics
13,3.0,725,1934.0,7,Culture
14,3.0,725,1934.0,6,Information
15,3.0,725,1934.0,7,Culture
16,3.0,725,1934.0,6,Information
17,3.0,694,1932.0,4,Politics
18,3.0,694,1932.0,4,Politics
19,3.0,725,1934.0,7,Culture
20,3.0,694,1932.0,4,Politics
21,3.0,725,1934.0,5,War
22,3.0,725,1934.0,5,War
23,3.0,694,1932.0,4,Politics
24,3.0,725,1934.0,5,War
25,3.0,694,1932.0,4,Politics
26,3.0,694,1932.0,4,Politics
27,2.0,1522,1921.0,0,Routine
28,2.0,1513,1920.0,1,Form
29,3.0,694,1932.0,4,Politics
30,3.0,725,1934.0,5,War
31,3.0,725,1934.0,7,Culture
32,3.0,694,1932.0,4,Politics
33,2.0,1522,1921.0,0,Routine
34,2.0,1522,1921.0,0,Routine
35,3.0,725,1934.0,7,Culture
36,3.0,725,1934.0,7,Culture
37,3.0,694,1932.0,4,Politics
38,3.0,725,1934.0,7,Culture
39,3.0,725,1934.0,5,War
40,3.0,725,1934.0,5,War
41,3.0,725,1934.0,5,War
42,2.0,1483,1918.0,3,Professional Activity
43,3.0,694,1932.0,4,Politics
44,3.0,694,1932.0,4,Politics
45,3.0,725,1934.0,7,Culture
46,2.0,1513,1920.0,1,Form
47,3.0,725,1934.0,7,Culture
48,3.0,725,1934.0,7,Culture
49,3.0,725,1934.0,5,War
50,2.0,1483,1918.0,3,Professional Activity
51,2.0,1483,1918.0,3,Professional Activity
52,3.0,725,1934.0,7,Culture
53,3.0,725,1934.0,7,Culture
54,3.0,694,1932.0,4,Politics
55,3.0,725,1934.0,7,Culture
56,3.0,694,1932.0,4,Politics
57,3.0,694,1932.0,4,Politics
58,2.0,1522,1921.0,0,Routine
59,3.0,694,1932.0,4,Politics
60,3.0,725,1934.0,7,Culture
61,3.0,725,1934.0,7,Culture
62,3.0,725,1934.0,7,Culture
63,3.0,725,1934.0,5,War
64,2.0,1483,1918.0,3,Professional Activity
65,3.0,725,1934.0,7,Culture
66,3.0,725,1934.0,5,War
67,2.0,1522,1921.0,0,Routine
68,3.0,725,1934.0,7,Culture
69,2.0,1513,1920.0,1,Form
70,3.0,694,1932.0,4,Politics
71,3.0,725,1934.0,5,War
72,3.0,725,1934.0,7,Culture
73,3.0,725,1934.0,7,Culture
74,3.0,725,1934.0,7,Culture
75,3.0,725,1934.0,7,Culture
76,2.0,1522,1921.0,0,Routine
77,3.0,725,1934.0,7,Culture
78,3.0,725,1934.0,7,Culture
79,3.0,694,1932.0,4,Politics
80,3.0,725,1934.0,5,War
81,3.0,725,1934.0,7,Culture
82,3.0,694,1932.0,4,Politics
83,3.0,725,1934.0,5,War
84,2.0,1483,1918.0,3,Professional Activity
85,3.0,694,1932.0,4,Politics
86,3.0,694,1932.0,4,Politics
87,3.0,725,1934.0,5,War
88,3.0,694,1932.0,4,Politics
89,3.0,725,1934.0,7,Culture
90,3.0,694,1932.0,4,Politics
91,3.0,694,1932.0,4,Politics
92,3.0,725,1934.0,7,Culture
93,3.0,694,1932.0,4,Politics
94,2.0,1483,1918.0,3,Professional Activity
95,2.0,1522,1921.0,0,Routine
96,3.0,725,1934.0,7,Culture
97,3.0,725,1934.0,7,Culture
98,2.0,1513,1920.0,1,Form
99,2.0,1522,1921.0,0,Routine
100,3.0,725,1934.0,6,Information
101,2.0,1483,1918.0,3,Professional Activity
102,2.0,1522,1921.0,0,Routine
103,2.0,1502,1919.0,2,Personal Mentions
104,2.0,1483,1918.0,3,Professional Activity
105,3.0,725,1934.0,7,Culture
106,2.0,1522,1921.0,0,Routine
107,3.0,725,1934.0,7,Culture
108,3.0,725,1934.0,7,Culture
109,3.0,694,1932.0,4,Politics
110,3.0,725,1934.0,5,War
111,3.0,725,1934.0,7,Culture
112,3.0,725,1934.0,7,Culture
113,3.0,725,1934.0,7,Culture
114,3.0,725,1934.0,7,Culture
115,3.0,694,1932.0,4,Politics
116,2.0,1513,1920.0,1,Form
117,2.0,1522,1921.0,0,Routine
118,3.0,725,1934.0,7,Culture
119,3.0,725,1934.0,5,War
120,2.0,1502,1919.0,2,Personal Mentions
121,3.0,725,1934.0,7,Culture
122,2.0,1483,1918.0,3,Professional Activity
123,3.0,725,1934.0,7,Culture
124,3.0,725,1934.0,6,Information
125,3.0,725,1934.0,7,Culture
126,3.0,725,1934.0,7,Culture
127,3.0,725,1934.0,6,Information
128,3.0,725,1934.0,7,Culture
129,3.0,725,1934.0,7,Culture
130,2.0,1522,1921.0,0,Routine
131,2.0,1522,1921.0,0,Routine
132,2.0,1522,1921.0,0,Routine
133,2.0,1502,1919.0,2,Personal Mentions
134,3.0,725,1934.0,5,War
135,2.0,1522,1921.0,0,Routine
136,3.0,725,1934.0,7,Culture
137,2.0,1522,1921.0,0,Routine
138,3.0,725,1934.0,7,Culture
139,2.0,1522,1921.0,0,Routine
140,2.0,1522,1921.0,0,Routine
141,3.0,725,1934.0,5,War
142,2.0,1483,1918.0,3,Professional Activity
143,3.0,694,1932.0,4,Politics
144,3.0,694,1932.0,4,Politics
145,2.0,1513,1920.0,1,Form
146,3.0,725,1934.0,6,Information
147,2.0,1513,1920.0,1,Form
148,2.0,1513,1920.0,1,Form
149,2.0,1483,1918.0,3,Professional Activity
150,3.0,694,1932.0,4,Politics
151,3.0,725,1934.0,5,War
152,2.0,1522,1921.0,0,Routine
153,2.0,1483,1918.0,3,Professional Activity
154,3.0,725,1934.0,5,War
155,3.0,725,1934.0,6,Information
156,2.0,1483,1918.0,3,Professional Activity
157,3.0,725,1934.0,5,War
158,2.0,1483,1918.0,3,Professional Activity
159,2.0,1513,1920.0,1,Form
160,3.0,725,1934.0,6,Information
161,2.0,1483,1918.0,3,Professional Activity
162,3.0,725,1934.0,7,Culture
163,3.0,725,1934.0,7,Culture
164,3.0,725,1934.0,7,Culture
165,2.0,1513,1920.0,1,Form
166,2.0,1513,1920.0,1,Form
167,2.0,1522,1921.0,0,Routine
168,3.0,694,1932.0,4,Politics
169,2.0,1522,1921.0,0,Routine
170,3.0,725,1934.0,6,Information
171,2.0,1522,1921.0,0,Routine
172,2.0,1522,1921.0,0,Routine
173,2.0,1483,1918.0,3,Professional Activity
174,3.0,725,1934.0,5,War
175,3.0,725,1934.0,6,Information
176,3.0,725,1934.0,5,War
177,3.0,725,1934.0,5,War
178,2.0,1483,1918.0,3,Professional Activity
179,2.0,1513,1920.0,1,Form
180,2.0,1513,1920.0,1,Form
181,2.0,1513,1920.0,1,Form
182,2.0,1513,1920.0,1,Form
183,2.0,1513,1920.0,1,Form
184,3.0,725,1934.0,5,War
185,2.0,1522,1921.0,0,Routine
186,2.0,1522,1921.0,0,Routine
187,2.0,1513,1920.0,1,Form
188,3.0,764,1934.0,8,Opinions
189,3.0,725,1934.0,7,Culture
190,3.0,694,1932.0,4,Politics
191,3.0,725,1934.0,5,War
192,2.0,1483,1918.0,3,Professional Activity
193,3.0,725,1934.0,5,War
194,2.0,1522,1921.0,0,Routine
195,3.0,725,1934.0,5,War
196,3.0,725,1934.0,7,Culture
197,3.0,725,1934.0,5,War
198,3.0,694,1932.0,4,Politics
199,3.0,694,1932.0,4,Politics
200,3.0,725,1934.0,5,War
201,2.0,1513,1920.0,1,Form
202,2.0,1483,1918.0,3,Professional Activity
203,2.0,1513,1920.0,1,Form
204,3.0,725,1934.0,6,Information
205,3.0,725,1934.0,5,War
206,3.0,725,1934.0,7,Culture
207,2.0,1483,1918.0,3,Professional Activity
208,2.0,1513,1920.0,1,Form
209,2.0,1483,1918.0,3,Professional Activity
210,2.0,1483,1918.0,3,Professional Activity
211,2.0,1522,1921.0,0,Routine
212,2.0,1522,1921.0,0,Routine
213,2.0,1522,1921.0,0,Routine
214,2.0,1522,1921.0,0,Routine
215,2.0,1522,1921.0,0,Routine
216,3.0,764,1934.0,8,Opinions
217,3.0,694,1932.0,4,Politics
218,2.0,1522,1921.0,0,Routine
219,2.0,1513,1920.0,1,Form
220,3.0,725,1934.0,5,War
221,2.0,1513,1920.0,1,Form
222,2.0,1483,1918.0,3,Professional Activity
223,2.0,1522,1921.0,0,Routine
224,2.0,1483,1918.0,3,Professional Activity
225,2.0,1483,1918.0,3,Professional Activity
226,3.0,725,1934.0,5,War
227,3.0,725,1934.0,6,Information
228,3.0,725,1934.0,5,War
229,3.0,725,1934.0,5,War
230,3.0,725,1934.0,5,War
231,2.0,1522,1921.0,0,Routine
232,3.0,725,1934.0,5,War
233,2.0,1513,1920.0,1,Form
234,3.0,725,1934.0,5,War
235,3.0,725,1934.0,6,Information
236,3.0,725,1934.0,5,War
237,2.0,1522,1921.0,0,Routine
238,3.0,725,1934.0,7,Culture
239,3.0,725,1934.0,5,War
240,2.0,1513,1920.0,1,Form
241,2.0,1483,1918.0,3,Professional Activity
242,3.0,694,1932.0,4,Politics
243,3.0,725,1934.0,5,War
244,3.0,764,1934.0,8,Opinions
245,3.0,725,1934.0,7,Culture
246,3.0,725,1934.0,6,Information
247,2.0,1522,1921.0,0,Routine
248,2.0,1502,1919.0,2,Personal Mentions
249,3.0,725,1934.0,7,Culture
250,2.0,1502,1919.0,2,Personal Mentions
251,3.0,725,1934.0,5,War
252,2.0,1513,1920.0,1,Form
253,2.0,1522,1921.0,0,Routine
254,2.0,1513,1920.0,1,Form
255,3.0,725,1934.0,7,Culture
256,2.0,1522,1921.0,0,Routine
257,3.0,725,1934.0,7,Culture
258,3.0,694,1932.0,4,Politics
259,3.0,725,1934.0,7,Culture
260,3.0,694,1932.0,4,Politics
261,3.0,725,1934.0,5,War
262,3.0,725,1934.0,7,Culture
263,3.0,694,1932.0,4,Politics
264,3.0,725,1934.0,7,Culture
265,3.0,725,1934.0,5,War
266,3.0,725,1934.0,7,Culture
267,2.0,1522,1921.0,0,Routine
268,2.0,1522,1921.0,0,Routine
269,2.0,1522,1921.0,0,Routine
270,3.0,725,1934.0,5,War
271,2.0,1522,1921.0,0,Routine
272,2.0,1483,1918.0,3,Professional Activity
273,2.0,1522,1921.0,0,Routine
274,3.0,725,1934.0,7,Culture
275,2.0,1522,1921.0,0,Routine
276,3.0,725,1934.0,7,Culture
277,2.0,1522,1921.0,0,Routine
278,3.0,725,1934.0,5,War
279,3.0,725,1934.0,7,Culture
280,3.0,725,1934.0,5,War
281,3.0,725,1934.0,7,Culture
282,3.0,725,1934.0,7,Culture
283,3.0,725,1934.0,7,Culture
284,3.0,725,1934.0,7,Culture
285,3.0,694,1932.0,4,Politics
286,3.0,694,1932.0,4,Politics
287,2.0,1483,1918.0,3,Professional Activity
288,3.0,694,1932.0,4,Politics
289,2.0,1483,1918.0,3,Professional Activity
290,3.0,694,1932.0,4,Politics
291,3.0,694,1932.0,4,Politics
292,3.0,694,1932.0,4,Politics
293,2.0,1513,1920.0,1,Form
294,3.0,694,1932.0,4,Politics
295,3.0,725,1934.0,5,War
296,3.0,694,1932.0,4,Politics
297,2.0,1483,1918.0,3,Professional Activity
298,3.0,725,1934.0,5,War
299,3.0,725,1934.0,7,Culture
300,3.0,725,1934.0,5,War
301,3.0,725,1934.0,5,War
302,3.0,725,1934.0,7,Culture
303,3.0,725,1934.0,5,War
304,3.0,694,1932.0,4,Politics
305,3.0,725,1934.0,6,Information
306,2.0,1522,1921.0,0,Routine
307,2.0,1522,1921.0,0,Routine
308,2.0,1502,1919.0,2,Personal Mentions
309,3.0,725,1934.0,7,Culture
310,3.0,725,1934.0,5,War
311,2.0,1513,1920.0,1,Form
312,3.0,725,1934.0,5,War
313,3.0,694,1932.0,4,Politics
314,3.0,694,1932.0,4,Politics
315,3.0,725,1934.0,7,Culture
316,3.0,725,1934.0,7,Culture
317,2.0,1522,1921.0,0,Routine
318,3.0,725,1934.0,5,War
319,3.0,725,1934.0,7,Culture
320,2.0,1522,1921.0,0,Routine
321,3.0,725,1934.0,7,Culture
322,2.0,1513,1920.0,1,Form
323,2.0,1522,1921.0,0,Routine
324,3.0,694,1932.0,4,Politics
325,3.0,725,1934.0,6,Information
326,2.0,1522,1921.0,0,Routine
327,3.0,725,1934.0,5,War
328,3.0,725,1934.0,7,Culture
329,2.0,1522,1921.0,0,Routine
330,2.0,1522,1921.0,0,Routine
331,2.0,1483,1918.0,3,Professional Activity
332,2.0,1522,1921.0,0,Routine
333,3.0,725,1934.0,7,Culture
334,3.0,725,1934.0,7,Culture
335,3.0,725,1934.0,7,Culture
336,2.0,1522,1921.0,0,Routine
337,3.0,725,1934.0,7,Culture
338,3.0,725,1934.0,5,War
339,3.0,725,1934.0,7,Culture
340,3.0,725,1934.0,5,War
341,3.0,725,1934.0,5,War
