,diarynum,entry_id,entry_year,new_entry_type,new_name_type
0,3.0,895,1935.0,8,Literary Models
1,3.0,721,1933.0,1,Content
2,3.0,865,1935.0,4,Professional Activity
3,3.0,908,1936.0,9,Judgement
4,3.0,865,1935.0,4,Professional Activity
5,2.0,1476,1918.0,0,Form
6,3.0,721,1933.0,1,Content
7,3.0,895,1935.0,8,Literary Models
8,3.0,895,1935.0,8,Literary Models
9,3.0,865,1935.0,4,Professional Activity
10,3.0,865,1935.0,5,Publication
11,3.0,733,1934.0,3,In Media
12,2.0,1476,1918.0,0,Form
13,3.0,908,1936.0,9,Judgement
14,3.0,908,1936.0,9,Judgement
15,3.0,908,1936.0,9,Judgement
16,2.0,1476,1918.0,0,Form
17,3.0,733,1934.0,3,In Media
18,3.0,867,1935.0,7,Historical Fiction
19,3.0,908,1936.0,9,Judgement
20,2.0,1476,1918.0,0,Form
21,2.0,1476,1918.0,0,Form
22,3.0,867,1935.0,6,Soviet Novel
23,3.0,908,1936.0,9,Judgement
24,3.0,865,1935.0,4,Professional Activity
25,3.0,733,1934.0,2,Interpersonal
26,2.0,1476,1918.0,0,Form
27,2.0,1476,1918.0,0,Form
28,3.0,733,1934.0,3,In Media
29,3.0,867,1935.0,6,Soviet Novel
30,3.0,895,1935.0,8,Literary Models
31,3.0,867,1935.0,6,Soviet Novel
32,3.0,895,1935.0,8,Literary Models
33,3.0,733,1934.0,3,In Media
34,2.0,1476,1918.0,0,Form
35,3.0,895,1935.0,8,Literary Models
36,3.0,865,1935.0,5,Publication
37,3.0,867,1935.0,7,Historical Fiction
38,3.0,865,1935.0,5,Publication
39,3.0,867,1935.0,7,Historical Fiction
40,3.0,908,1936.0,9,Judgement
41,3.0,867,1935.0,6,Soviet Novel
42,3.0,865,1935.0,5,Publication
43,3.0,865,1935.0,5,Publication
44,2.0,1476,1918.0,0,Form
45,3.0,733,1934.0,2,Interpersonal
46,3.0,865,1935.0,4,Professional Activity
47,3.0,865,1935.0,5,Publication
48,3.0,895,1935.0,8,Literary Models
49,3.0,908,1936.0,9,Judgement
50,3.0,733,1934.0,2,Interpersonal
51,3.0,908,1936.0,9,Judgement
52,3.0,733,1934.0,2,Interpersonal
53,3.0,733,1934.0,2,Interpersonal
54,3.0,908,1936.0,9,Judgement
55,3.0,908,1936.0,9,Judgement
56,3.0,908,1936.0,9,Judgement
57,3.0,867,1935.0,6,Soviet Novel
58,3.0,733,1934.0,3,In Media
59,3.0,733,1934.0,2,Interpersonal
60,3.0,867,1935.0,6,Soviet Novel
61,3.0,867,1935.0,6,Soviet Novel
62,3.0,867,1935.0,6,Soviet Novel
63,3.0,908,1936.0,9,Judgement
64,3.0,865,1935.0,5,Publication
65,2.0,1476,1918.0,0,Form
66,3.0,865,1935.0,5,Publication
67,3.0,733,1934.0,2,Interpersonal
68,3.0,895,1935.0,8,Literary Models
69,3.0,865,1935.0,4,Professional Activity
70,3.0,733,1934.0,3,In Media
71,2.0,1476,1918.0,0,Form
72,3.0,895,1935.0,8,Literary Models
73,3.0,865,1935.0,4,Professional Activity
74,3.0,865,1935.0,4,Professional Activity
75,3.0,895,1935.0,8,Literary Models
76,3.0,865,1935.0,4,Professional Activity
77,3.0,865,1935.0,4,Professional Activity
78,3.0,865,1935.0,4,Professional Activity
79,3.0,865,1935.0,4,Professional Activity
80,3.0,865,1935.0,4,Professional Activity
81,3.0,865,1935.0,5,Publication
82,3.0,733,1934.0,3,In Media
