,diarynum,entry_id,entry_year,new_entry_type,new_name_type
0,3.0,733,1934.0,2,Interpersonal
1,3.0,744,1934.0,5,Professional Activity
2,3.0,776,1934.0,2,Interpersonal
3,3.0,839,1935.0,2,Interpersonal
4,3.0,931,1936.0,2,Interpersonal
5,3.0,940,1936.0,2,Interpersonal
6,3.0,978,1937.0,10,Expression
7,8.0,1718,1947.0,5,Professional Activity
8,8.0,1750,1947.0,0,Reading
9,8.0,1750,1947.0,2,Interpersonal
10,8.0,1750,1947.0,6,Soviet Revolution
11,8.0,2162,1957.0,6,Soviet Revolution
12,8.0,2162,1957.0,0,Reading
13,8.0,2162,1957.0,9,Judgement
14,8.0,2162,1957.0,5,Professional Activity
15,10.0,2356,1902.0,10,Expression
16,10.0,2357,1902.0,0,Reading
17,10.0,2357,1902.0,3,Content
18,10.0,2359,1902.0,0,Reading
19,10.0,2359,1902.0,10,Expression
20,10.0,2359,1902.0,4,Citations
21,10.0,2359,1902.0,6,Soviet Revolution
22,10.0,2359,1902.0,10,Expression
23,10.0,2359,1902.0,10,Expression
24,10.0,2359,1902.0,3,Content
25,10.0,2359,1902.0,3,Content
26,10.0,2359,1902.0,3,Content
27,10.0,2359,1902.0,1,Form
28,10.0,2359,1902.0,10,Expression
29,10.0,2364,1902.0,5,Professional Activity
30,10.0,2366,1902.0,5,Professional Activity
31,10.0,2366,1902.0,10,Expression
32,10.0,2371,1902.0,3,Content
33,10.0,2375,1902.0,7,Recitation
34,10.0,2376,1902.0,5,Professional Activity
35,10.0,2377,1902.0,5,Professional Activity
36,10.0,2381,1911.0,0,Reading
37,10.0,2381,1911.0,8,Testimony
38,10.0,2382,1911.0,5,Professional Activity
39,10.0,2393,1911.0,8,Testimony
40,10.0,2394,1911.0,2,Interpersonal
41,10.0,2400,1911.0,5,Professional Activity
42,10.0,2402,1911.0,5,Professional Activity
43,10.0,2404,1911.0,8,Testimony
44,10.0,2404,1911.0,2,Interpersonal
45,10.0,2404,1911.0,0,Reading
46,10.0,2406,1911.0,8,Testimony
47,10.0,2406,1911.0,10,Expression
48,10.0,2416,1911.0,10,Expression
49,10.0,2416,1911.0,8,Testimony
50,10.0,2431,1912.0,5,Professional Activity
51,10.0,2435,1912.0,5,Professional Activity
52,10.0,2436,1912.0,7,Recitation
53,10.0,2444,1912.0,0,Reading
54,10.0,2464,1912.0,0,Reading
55,10.0,2472,1912.0,10,Expression
56,10.0,2473,1912.0,3,Content
57,10.0,2474,1912.0,5,Professional Activity
58,10.0,2495,1912.0,5,Professional Activity
59,10.0,2496,1912.0,8,Testimony
60,10.0,2501,1912.0,5,Professional Activity
61,10.0,2501,1912.0,6,Soviet Revolution
62,10.0,2543,1912.0,7,Recitation
63,10.0,2544,1912.0,2,Interpersonal
64,10.0,2553,1912.0,7,Recitation
65,10.0,2556,1912.0,2,Interpersonal
66,10.0,2560,1912.0,5,Professional Activity
67,10.0,2576,1912.0,5,Professional Activity
68,10.0,2580,1912.0,5,Professional Activity
69,10.0,2584,1912.0,0,Reading
70,10.0,2586,1912.0,5,Professional Activity
71,10.0,2587,1912.0,8,Testimony
72,10.0,2587,1912.0,1,Form
73,10.0,2587,1912.0,7,Recitation
74,10.0,2594,1912.0,2,Interpersonal
75,10.0,2599,1912.0,8,Testimony
76,10.0,2600,1912.0,5,Professional Activity
77,10.0,2601,1912.0,5,Professional Activity
78,10.0,2601,1912.0,5,Professional Activity
79,10.0,2601,1912.0,8,Testimony
80,10.0,2603,1912.0,7,Recitation
81,10.0,2615,1912.0,5,Professional Activity
82,10.0,2615,1912.0,2,Interpersonal
83,10.0,2625,1913.0,5,Professional Activity
84,10.0,2634,1913.0,7,Recitation
85,10.0,2636,1913.0,0,Reading
86,10.0,2636,1913.0,7,Recitation
87,10.0,2637,1913.0,5,Professional Activity
88,10.0,2640,1913.0,7,Recitation
89,10.0,2641,1913.0,7,Recitation
90,10.0,2641,1913.0,10,Expression
91,10.0,2642,1913.0,0,Reading
92,10.0,2644,1913.0,7,Recitation
93,10.0,2646,1913.0,5,Professional Activity
94,10.0,2647,1913.0,5,Professional Activity
95,10.0,2651,1913.0,5,Professional Activity
96,10.0,2658,1913.0,5,Professional Activity
97,10.0,2658,1913.0,7,Recitation
98,10.0,2680,1913.0,7,Recitation
99,10.0,2686,1913.0,0,Reading
100,10.0,2699,1913.0,5,Professional Activity
