,diarynum,entry_id,entry_year,new_entry_type,new_name_type
0,2.0,1522,1921.0,5,War
1,2.0,1513,1920.0,0,Routine
2,2.0,1502,1919.0,1,Form
3,2.0,1483,1918.0,0,Routine
4,3.0,694,1932.0,0,Routine
5,3.0,725,1934.0,0,Routine
6,3.0,725,1934.0,1,Form
7,3.0,725,1934.0,0,Routine
8,3.0,764,1934.0,7,Culture
9,3.0,854,1935.0,5,War
10,3.0,854,1935.0,1,Form
11,3.0,872,1935.0,4,Politics
12,3.0,895,1935.0,4,Politics
13,3.0,903,1936.0,7,Culture
14,3.0,912,1936.0,6,Information
15,3.0,915,1936.0,7,Culture
16,3.0,934,1936.0,6,Information
17,3.0,934,1936.0,4,Politics
18,3.0,934,1936.0,4,Politics
19,3.0,934,1936.0,7,Culture
20,3.0,934,1936.0,4,Politics
21,3.0,939,1936.0,5,War
22,3.0,942,1936.0,5,War
23,3.0,966,1936.0,4,Politics
24,3.0,969,1937.0,5,War
25,3.0,974,1937.0,4,Politics
26,3.0,974,1937.0,4,Politics
27,3.0,1001,1937.0,0,Routine
28,3.0,1008,1937.0,1,Form
29,3.0,1020,1937.0,4,Politics
30,3.0,1020,1937.0,5,War
31,3.0,1020,1937.0,7,Culture
32,4.0,149762,1943.0,4,Politics
33,4.0,149762,1943.0,0,Routine
34,4.0,149706,1942.0,0,Routine
35,8.0,1531,1943.0,7,Culture
36,8.0,1582,1944.0,7,Culture
37,8.0,1583,1944.0,4,Politics
38,8.0,1584,1944.0,7,Culture
39,8.0,1584,1944.0,5,War
40,8.0,1584,1944.0,5,War
41,8.0,1584,1944.0,5,War
42,8.0,1594,1944.0,3,Professional Activity
43,8.0,1594,1944.0,4,Politics
44,8.0,1610,1944.0,4,Politics
45,8.0,1613,1945.0,7,Culture
46,8.0,1613,1945.0,1,Form
47,8.0,1614,1945.0,7,Culture
48,8.0,1614,1945.0,7,Culture
49,8.0,1614,1945.0,5,War
50,8.0,1616,1945.0,3,Professional Activity
51,8.0,1616,1945.0,3,Professional Activity
52,8.0,1616,1945.0,7,Culture
53,8.0,1628,1945.0,7,Culture
54,8.0,1670,1946.0,4,Politics
55,8.0,1692,1947.0,7,Culture
56,8.0,1698,1947.0,4,Politics
57,8.0,1698,1947.0,4,Politics
58,8.0,1745,1947.0,0,Routine
59,8.0,1758,1947.0,4,Politics
60,8.0,1808,1948.0,7,Culture
61,8.0,1817,1948.0,7,Culture
62,8.0,1823,1948.0,7,Culture
