,diarynum,entry_id,entry_year,new_entry_type,new_name_type
0,2.0,1476,1918.0,8,Literary Models
1,3.0,721,1933.0,1,Content
2,3.0,733,1934.0,4,Professional Activity
3,3.0,733,1934.0,9,Judgement
4,3.0,865,1935.0,4,Professional Activity
5,3.0,865,1935.0,0,Form
6,3.0,867,1935.0,1,Content
7,3.0,867,1935.0,8,Literary Models
8,3.0,895,1935.0,8,Literary Models
9,3.0,908,1936.0,4,Professional Activity
10,3.0,934,1936.0,5,Publication
11,3.0,974,1937.0,3,In Media
12,3.0,974,1937.0,0,Form
13,3.0,979,1937.0,9,Judgement
14,3.0,979,1937.0,9,Judgement
15,3.0,979,1937.0,9,Judgement
16,3.0,979,1937.0,0,Form
17,4.0,149712,1942.0,3,In Media
18,4.0,149712,1942.0,7,Historical Fiction
19,8.0,1750,1947.0,9,Judgement
20,8.0,1755,1947.0,0,Form
21,8.0,1764,1947.0,0,Form
22,8.0,1764,1947.0,6,Soviet Novel
23,8.0,1764,1947.0,9,Judgement
24,8.0,1855,1949.0,4,Professional Activity
25,8.0,1904,1950.0,2,Interpersonal
26,8.0,2136,1956.0,0,Form
27,8.0,2136,1956.0,0,Form
28,8.0,2304,1961.0,3,In Media
29,8.0,2304,1961.0,6,Soviet Novel
30,8.0,2304,1961.0,8,Literary Models
31,8.0,2304,1961.0,6,Soviet Novel
32,10.0,2378,1902.0,8,Literary Models
33,10.0,2405,1911.0,3,In Media
34,10.0,2407,1911.0,0,Form
35,10.0,2407,1911.0,8,Literary Models
36,10.0,2576,1912.0,5,Publication
37,10.0,2613,1912.0,7,Historical Fiction
38,10.0,2646,1913.0,5,Publication
39,10.0,2672,1913.0,7,Historical Fiction
40,10.0,2716,1913.0,9,Judgement
41,10.0,2871,1920.0,6,Soviet Novel
42,10.0,2888,1921.0,5,Publication
43,12.0,139574,1902.0,5,Publication
44,12.0,139669,1904.0,0,Form
45,13.0,4414,1915.0,2,Interpersonal
46,13.0,4443,1915.0,4,Professional Activity
47,14.0,5407,1942.0,5,Publication
48,14.0,5409,1942.0,8,Literary Models
49,14.0,5861,1945.0,9,Judgement
50,15.0,6023,1939.0,2,Interpersonal
51,15.0,6044,1941.0,9,Judgement
52,15.0,6089,1942.0,2,Interpersonal
53,15.0,6214,1943.0,2,Interpersonal
54,15.0,6214,1943.0,9,Judgement
55,15.0,6225,1944.0,9,Judgement
56,15.0,6253,1944.0,9,Judgement
57,15.0,6326,1945.0,6,Soviet Novel
58,15.0,6359,1946.0,3,In Media
59,15.0,6366,1946.0,2,Interpersonal
60,16.0,342813,1919.0,6,Soviet Novel
61,16.0,342690,1918.0,6,Soviet Novel
62,16.0,342573,1917.0,6,Soviet Novel
63,17.0,7756,1924.0,9,Judgement
64,17.0,7775,1924.0,5,Publication
65,17.0,7775,1924.0,0,Form
66,17.0,7778,1924.0,5,Publication
67,17.0,7779,1924.0,2,Interpersonal
68,18.0,6718,1933.0,8,Literary Models
69,18.0,6750,1933.0,4,Professional Activity
70,18.0,6798,1934.0,3,In Media
71,18.0,6880,1934.0,0,Form
72,18.0,7148,1937.0,8,Literary Models
73,18.0,7154,1937.0,4,Professional Activity
74,18.0,7155,1937.0,4,Professional Activity
75,18.0,7182,1937.0,8,Literary Models
76,18.0,7283,1937.0,4,Professional Activity
77,18.0,7349,1938.0,4,Professional Activity
78,18.0,7363,1938.0,4,Professional Activity
79,18.0,7369,1938.0,4,Professional Activity
80,18.0,7374,1938.0,4,Professional Activity
81,18.0,7426,1938.0,5,Publication
82,18.0,7442,1938.0,3,In Media
83,18.0,7543,1939.0,4,Professional Activity
84,18.0,7544,1939.0,4,Professional Activity
85,18.0,7559,1939.0,9,Judgement
86,18.0,7589,1939.0,5,Publication
87,18.0,7592,1939.0,9,Judgement
88,18.0,7598,1939.0,0,Form
89,18.0,7598,1939.0,4,Professional Activity
90,18.0,7598,1939.0,5,Publication
91,18.0,7701,1940.0,5,Publication
92,18.0,7701,1940.0,9,Judgement
93,18.0,7701,1940.0,3,In Media
94,18.0,7701,1940.0,2,Interpersonal
95,18.0,7701,1940.0,2,Interpersonal
96,18.0,7713,1940.0,7,Historical Fiction
97,19.0,227197,1940.0,2,Interpersonal
98,19.0,227206,1940.0,6,Soviet Novel
99,19.0,227570,1944.0,3,In Media
100,22.0,8219,1942.0,0,Form
101,22.0,8264,1942.0,2,Interpersonal
102,22.0,8314,1942.0,6,Soviet Novel
103,22.0,8354,1942.0,6,Soviet Novel
104,22.0,8496,1943.0,6,Soviet Novel
105,22.0,8518,1943.0,3,In Media
106,22.0,8558,1943.0,1,Content
107,22.0,8693,1943.0,5,Publication
108,22.0,8693,1943.0,0,Form
109,22.0,8693,1943.0,6,Soviet Novel
110,22.0,8726,1943.0,1,Content
111,22.0,8801,1944.0,5,Publication
112,22.0,8814,1944.0,0,Form
113,23.0,9059,1943.0,2,Interpersonal
114,23.0,9063,1943.0,6,Soviet Novel
115,23.0,9077,1943.0,6,Soviet Novel
116,23.0,9168,1943.0,6,Soviet Novel
117,23.0,9168,1943.0,6,Soviet Novel
118,23.0,9207,1944.0,0,Form
119,23.0,9207,1944.0,6,Soviet Novel
120,23.0,9218,1944.0,8,Literary Models
121,24.0,9509,1941.0,0,Form
122,24.0,9878,1944.0,6,Soviet Novel
123,24.0,10002,1945.0,4,Professional Activity
124,25.0,10231,1919.0,8,Literary Models
125,30.0,12099,1917.0,0,Form
126,31.0,12630,1943.0,0,Form
