,diarynum,entry_year,entry_id,0,1,2,entry_type
0,2.0,1921.0,1522,-0.17237270000000002,0.15500678,-0.06503363,11
1,2.0,1920.0,1513,-0.30824015,0.31103256,-0.027513439,4
2,2.0,1919.0,1502,-7.239449e-05,0.21194841,-0.50617796,9
3,2.0,1918.0,1483,-0.29028577,0.34675157,-0.1402007,4
4,3.0,1932.0,694,-0.39455485,0.36851606,0.08082856,4
5,3.0,1934.0,725,-0.21698715,0.17922251,-0.00423703,4
6,3.0,1934.0,725,-0.055488765,0.30581206,-0.54240805,9
7,3.0,1934.0,725,-0.2021395,0.26056212,-0.18504262,4
8,3.0,1934.0,764,-0.10751197,0.077114716,-0.076609135,6
9,3.0,1935.0,854,-0.16197324,0.13941579,-0.06144508,11
10,3.0,1935.0,854,-0.09970623,0.33315435,-0.50835115,9
11,3.0,1935.0,872,-0.17987418,0.15380614,-0.045599065999999994,10
12,3.0,1935.0,895,-0.17807242,0.15621310000000002,-0.054024417000000005,10
13,3.0,1936.0,903,-0.114499636,0.07681239999999999,-0.060290657000000004,6
14,3.0,1936.0,912,-0.07887477400000001,0.24042645,-0.40735695,8
15,3.0,1936.0,915,-0.11773815,0.08447756599999999,-0.06626510599999999,6
16,3.0,1936.0,934,-0.07899305,0.24248472,-0.4102872,8
17,3.0,1936.0,934,-0.18337537,0.16887675,-0.06421923,10
18,3.0,1936.0,934,-0.17681248,0.15108155,-0.047856367999999996,10
19,3.0,1936.0,934,-0.14920178,0.14381,-0.09832733,6
20,3.0,1936.0,934,-0.17599303,0.15116085,-0.049889192,10
21,3.0,1936.0,939,-0.15455306,0.11918486,-0.04293358,11
22,3.0,1936.0,942,-0.17054495,0.12516898,-0.016634700000000002,11
23,3.0,1936.0,966,-0.17931458,0.16916879,-0.07411031400000001,10
24,3.0,1937.0,969,-0.16311762,0.1448953,-0.06846418,11
25,3.0,1937.0,974,-0.18839484,0.16116218,-0.038891893,10
26,3.0,1937.0,974,-0.18119486,0.15718329,-0.04852413,10
27,3.0,1937.0,974,-0.1891451,0.15253845,-0.021851232,2
28,3.0,1937.0,1001,-0.2372176,0.18017621,0.041878417,4
29,3.0,1937.0,1008,-0.012717868,0.26475486,-0.55543196,9
30,3.0,1937.0,1020,-0.17786752,0.14293078,-0.031012049,10
31,3.0,1937.0,1020,-0.16659802,0.14017949,-0.05216297,11
32,3.0,1937.0,1020,-0.11626823,0.07843603,-0.059103288,6
33,4.0,1943.0,149930,-0.20839398,0.10467637,0.10698841,2
34,4.0,1943.0,149762,-0.17544384,0.16912027,-0.08293318,10
35,4.0,1943.0,149762,-0.19869244,0.18443489,-0.056402195,4
36,4.0,1943.0,149760,-0.20771591,0.11876310400000001,0.08092758,2
37,4.0,1942.0,149706,-0.20381622,0.17498995,-0.027574101,4
38,8.0,1943.0,1531,-0.11958863,0.072533995,-0.041315995,6
39,8.0,1943.0,1539,-0.20078166,0.10616139,0.086759545,2
