,diarynum,firstName,lastName,info
0,2,,,
1,3,Александр,Аросев,"Революционер, советский партийный деятель, чекист, дипломат, писатель. Репрессирован и расстрелян."
2,4,Григорий,Балицкий,"Командир партизанского отряда, Герой Советского Союза."
3,5,Иван,Башилов,"Химик-технолог, металлург, один из основателей радиевой и редкоэлементной промышленности в СССР. Репрессирован, в 1928-1943 гг. находился в заключении. "
4,8,Самуил,Бернштейн,"Лингвист-славист, балканист, диалектолог, специалист по болгарскому языку, лингвистической географии. Мемуарист, историк науки."
5,9,Юрий,Бессонов,"Штабс-ротмистр, участник мировой войны. После революции участвовал в походе генерала Корнилова на Петроград. В 1918 арестован.  Бежал из лагеря на Соловецких островах. Эмигрировал в Париж. "
6,10,Александр,Блок,"Поэт, классик русской литературы XX столетия."
7,11,Петр,Бобровский,"В годы первой мировой и гражданской войн член Симферопольской городской думы. В 1918-1919 гг входил в ""Крымское краевое правительство"". Эмигрант."
8,12,Александра ,Богданович,"Жена генерала Евгения Васильевича Богдановича, хозяйка светского салона с политическим уклоном.
"
9,13,Михаил ,Богословский,"Историк, академик. "
10,14,Александр ,Болдырев,"Востоковед-иранист, заслуженный деятель науки Таджикской ССР, профессор Ленинградского университета."
11,15,Лазарь,Бронтман,"Журналист, корреспондент ""Правды"". Прорабатывался в рамках кампании борьбы с космополитами."
12,16,Алексей,Будберг,"Военный деятель, генерал-лейтенант. Управляющий военным министерством в правительстве А. В. Колчака."
13,17,Михаил,Булгаков,"Писатель, драматург, театральный режиссёр и актёр. Автор повестей и рассказов, множества фельетонов, пьес, инсценировок, киносценариев, оперных либретто."
14,18,Елена,Булгакова,"Третья жена писателя и драматурга Михаила Афанасьевича Булгакова, хранительница его литературного наследия. Основной прототип Маргариты в романе «Мастер и Маргарита»."
15,19,Иван,Бунин,"Писатель и поэт, первый русский лауреат Нобелевской премии по литературе (1933)."
16,20,Николай,Вавилов,"Генетик, ботаник, селекционер, географ. Возглавлял ряд научных учреждений; в 1926—1935 гг член ЦИК СССР. Репрессирован в 1940 году, умер в заключении."
17,21,Алексей,Винокуров,"Учитель географии, свидетель блокады Ленинграда. Репрессирован, расстрелян. "
18,22,Всеволод,Вишневский,"Писатель, драматург. Капитан 1 ранга.

Супруг [Софьи Вишневецкой](http://prozhito.org/person/2637)."
19,23,Петр,Власов,"Советский разведчик, журналист и дипломат. Полковник, Чрезвычайный и полномочный посол.
"
20,24,Владимир,Гельфанд,"Преподаватель, писатель-мемуарист, участник Великой Отечественной войны."
21,25,Филипп,Голиков,"Советский военачальник, Маршал Советского Союза (с 8 мая 1961 года).

"
22,27,Николай,Горшков,"Бухгалтер. Репрессирован, умер в заключении.
"
23,28,Анатолий,Дзякович,"Химик, партизан, подрывник.
"
24,29,Михаил,Дроздовский,"Русский военачальник, генерал-майор (1918). Участник Русско-японской, Первой мировой и Гражданской войн.
"
