,entry_year,year_totals
0,1899,2127
1,1900,2264
2,1901,2272
3,1902,2490
4,1903,2424
5,1904,3485
6,1905,2919
7,1906,2641
8,1907,2942
9,1908,3093
10,1909,2722
11,1910,2978
12,1911,2046
13,1912,2180
14,1913,2290
15,1914,3298
16,1915,3525
17,1916,3725
18,1917,5110
19,1918,6532
20,1919,5997
21,1920,4674
22,1921,4693
23,1922,3081
24,1923,2688
25,1924,3287
26,1925,3544
27,1926,3349
28,1927,3587
29,1928,3574
30,1929,3552
31,1930,2873
32,1931,3186
33,1932,2598
34,1933,2771
35,1934,2536
36,1935,2840
37,1936,2976
38,1937,3955
39,1938,3674
40,1939,4002
41,1940,4041
42,1941,12285
43,1942,17685
44,1943,13555
45,1944,8890
46,1945,6450
47,1946,2557
48,1947,2454
49,1948,1852
50,1949,1549
51,1950,1729
52,1951,1832
53,1952,2092
54,1953,2641
55,1954,2090
56,1955,2714
57,1956,2390
58,1957,2291
59,1958,2565
60,1959,2134
61,1960,1858
62,1961,2061
63,1962,2558
64,1963,2167
65,1964,3009
66,1965,2606
67,1966,2735
68,1967,2521
69,1968,2755
70,1969,2752
71,1970,2367
72,1971,2449
73,1972,2498
74,1973,1939
75,1974,1926
76,1975,2043
77,1976,2205
78,1977,2365
79,1978,1985
80,1979,2153
81,1980,2574
82,1981,2659
83,1982,2655
84,1983,2564
85,1984,2939
86,1985,2881
87,1986,2285
88,1987,2163
89,1988,2110
90,1989,2060
91,1990,2135
92,1991,2093
93,1992,1320
94,1993,1703
95,1994,1498
96,1995,1904
97,1996,1551
98,1997,1305
99,1998,986
100,1999,790
101,2000,810
102,2001,781
103,2002,683
104,2003,583
105,2004,968
106,2005,1073
107,2006,1036
108,2007,727
109,2008,929
110,2009,617
111,2010,746
112,2011,587
113,2012,501
114,2013,393
115,2014,466
116,2015,464
117,2016,566
118,2017,288
119,2018,40
